FIPS,c,s,m15,mdf,mx14,mxdf,m
13003,Atkinson County,Ga.,4000,0,10000,3000,6000
13005,Bacon County,Ga.,4000,0,10000,3000,6000
13007,Baker County,Ga.,4000,0,10000,3000,6000
13009,Baldwin County,Ga.,4000,0,10000,3000,6000
13011,Banks County,Ga.,3000,-1000,10000,1500,5200
13013,Barrow County,Ga.,3000,0,10000,1500,6000
13015,Bartow County,Ga.,3000,0,10000,800,5000
13017,Ben Hill County,Ga.,4000,0,10000,3000,6000
13019,Berrien County,Ga.,4000,0,10000,3000,6000
13021,Bibb County,Ga.,4000,0,10000,1500,6400
13023,Bleckley County,Ga.,4000,0,10000,1500,6400
13025,Brantley County,Ga.,4000,0,10000,1500,6400
13027,Brooks County,Ga.,4000,0,10000,3000,6000
13029,Bryan County,Ga.,4000,0,10000,1500,6400
13031,Bulloch County,Ga.,4000,0,10000,1500,6400
13033,Burke County,Ga.,4000,0,10000,1500,6400
13035,Butts County,Ga.,3000,0,10000,1500,6000
13037,Calhoun County,Ga.,4000,0,10000,3000,6000
13039,Camden County,Ga.,4000,0,10000,1500,6400
13043,Candler County,Ga.,4000,0,10000,1500,6400
13045,Carroll County,Ga.,3000,0,10000,1500,5000
13047,Catoosa County,Ga.,3000,-1000,10000,2000,5200
13049,Charlton County,Ga.,4000,0,10000,3000,6000
13051,Chatham County,Ga.,4000,0,10000,1500,6400
13053,Chattahoochee County,Ga.,4000,1000,10000,3000,6000
13055,Chattooga County,Ga.,3000,-1000,10000,2000,5200
13057,Cherokee County,Ga.,3000,0,10000,800,6000
13059,Clarke County,Ga.,4000,1000,10000,1500,6000
13061,Clay County,Ga.,4000,0,10000,3000,6000
13063,Clayton County,Ga.,3000,0,10000,1500,6000
13065,Clinch County,Ga.,4000,0,10000,3000,6000
13067,Cobb County,Ga.,3000,0,9200,0,6000
13069,Coffee County,Ga.,4000,0,10000,3000,6000
13071,Colquitt County,Ga.,4000,0,10000,3000,6000
13073,Columbia County,Ga.,4000,0,10000,1500,6400
13075,Cook County,Ga.,4000,0,10000,3000,6000
13077,Coweta County,Ga.,3000,0,10000,1500,5000
13079,Crawford County,Ga.,4000,0,10000,1500,6400
13081,Crisp County,Ga.,4000,0,10000,3000,6000
13083,Dade County,Ga.,3000,-1000,10000,2000,5200
13085,Dawson County,Ga.,3000,0,10000,800,5200
13087,Decatur County,Ga.,4000,0,10000,3000,6000
13089,DeKalb County,Ga.,3000,0,10000,800,6000
13091,Dodge County,Ga.,4000,0,10000,3000,6000
13093,Dooly County,Ga.,4000,0,10000,3000,6000
13095,Dougherty County,Ga.,4000,0,10000,3000,6000
13097,Douglas County,Ga.,3000,0,8500,0,5000
13099,Early County,Ga.,4000,0,10000,3000,6000
13101,Echols County,Ga.,4000,0,10000,3000,6000
13103,Effingham County,Ga.,4000,0,10000,1500,6400
13105,Elbert County,Ga.,4000,1000,10000,3000,6000
13107,Emanuel County,Ga.,4000,0,10000,1500,6400
13109,Evans County,Ga.,4000,0,10000,1500,6400
13111,Fannin County,Ga.,3000,-1000,10000,2000,5200
13113,Fayette County,Ga.,3000,0,10000,1500,6000
13115,Floyd County,Ga.,3000,-1000,10000,1500,6000
13117,Forsyth County,Ga.,3000,0,10000,800,6000
13119,Franklin County,Ga.,3000,-1000,10000,2000,5200
13121,Fulton County,Ga.,3000,0,10000,800,6000
13123,Gilmer County,Ga.,3000,-1000,10000,2000,5200
13125,Glascock County,Ga.,4000,0,10000,1500,6400
13127,Glynn County,Ga.,4000,0,10000,1500,6400
13129,Gordon County,Ga.,3000,-1000,10000,2000,5200
13131,Grady County,Ga.,4000,0,10000,3000,6000
13133,Greene County,Ga.,4000,1000,10000,1500,6000
13135,Gwinnett County,Ga.,3000,0,10000,800,6000
13137,Habersham County,Ga.,3000,-1000,10000,2000,5200
13139,Hall County,Ga.,3000,0,10000,1500,5200
13141,Hancock County,Ga.,4000,0,10000,1500,6400
13143,Haralson County,Ga.,3000,0,10000,1500,5000
13145,Harris County,Ga.,4000,1000,10000,1500,6000
13147,Hart County,Ga.,3000,-1000,10000,2000,5200
13149,Heard County,Ga.,3000,0,10000,1500,5000
13151,Henry County,Ga.,3000,0,10000,1500,6000
13153,Houston County,Ga.,4000,0,10000,1500,6400
13155,Irwin County,Ga.,4000,0,10000,3000,6000
13157,Jackson County,Ga.,3000,0,10000,1500,6000
13159,Jasper County,Ga.,4000,0,10000,3000,6000
13161,Jeff Davis County,Ga.,4000,0,10000,3000,6000
13163,Jefferson County,Ga.,4000,0,10000,1500,6400
13165,Jenkins County,Ga.,4000,0,10000,1500,6400
13167,Johnson County,Ga.,4000,0,10000,1500,6400
13169,Jones County,Ga.,4000,0,10000,1500,6400
13171,Lamar County,Ga.,3000,0,10000,1500,5000
13173,Lanier County,Ga.,4000,0,10000,3000,6000
13175,Laurens County,Ga.,4000,0,10000,1500,6000
13177,Lee County,Ga.,4000,0,10000,3000,6000
13179,Liberty County,Ga.,4000,0,10000,1500,6400
13181,Lincoln County,Ga.,4000,0,10000,1500,6400
13183,Long County,Ga.,4000,0,10000,1500,6400
13185,Lowndes County,Ga.,4000,0,10000,3000,6000
13187,Lumpkin County,Ga.,3000,-1000,10000,2000,5200
13193,Macon County,Ga.,4000,0,10000,3000,6000
13195,Madison County,Ga.,4000,1000,10000,1500,6000
13197,Marion County,Ga.,4000,1000,10000,1500,6000
13189,McDuffie County,Ga.,4000,0,10000,1500,6400
13191,McIntosh County,Ga.,4000,0,10000,1500,6400
13199,Meriwether County,Ga.,3000,0,10000,3000,5000
13201,Miller County,Ga.,4000,0,10000,3000,6000
13205,Mitchell County,Ga.,4000,0,10000,3000,6000
13207,Monroe County,Ga.,4000,0,10000,1500,6400
13209,Montgomery County,Ga.,4000,0,10000,3000,6000
13211,Morgan County,Ga.,4000,0,10000,1500,6400
13213,Murray County,Ga.,3000,-1000,10000,2000,5200
13215,Muscogee County,Ga.,4000,1000,10000,800,6000
13217,Newton County,Ga.,3000,0,10000,1500,5500
13219,Oconee County,Ga.,4000,1000,10000,1500,6000
13221,Oglethorpe County,Ga.,4000,0,10000,1500,6400
13223,Paulding County,Ga.,3000,0,8500,0,5000
13225,Peach County,Ga.,4000,0,10000,1500,6400
