FIPS,c,s,sf
19033,Cerro Gordo County,Iowa,5922
19035,Cherokee County,Iowa,6160
19037,Chickasaw County,Iowa,5922
19039,Clarke County,Iowa,6160
19041,Clay County,Iowa,5665
19043,Clayton County,Iowa,5807
19045,Clinton County,Iowa,6027
19047,Crawford County,Iowa,6160
19049,Dallas County,Iowa,6100
19051,Davis County,Iowa,5922
19053,Decatur County,Iowa,5922
19055,Delaware County,Iowa,5922
19057,Des Moines County,Iowa,6160
19059,Dickinson County,Iowa,5677
19061,Dubuque County,Iowa,6160
19063,Emmet County,Iowa,5677
19065,Fayette County,Iowa,5807
19067,Floyd County,Iowa,5922
19069,Franklin County,Iowa,5922
19071,Fremont County,Iowa,6160
19073,Greene County,Iowa,6160
19075,Grundy County,Iowa,6160
19077,Guthrie County,Iowa,6160
19079,Hamilton County,Iowa,5922
19081,Hancock County,Iowa,5922
19083,Hardin County,Iowa,5922
19085,Harrison County,Iowa,5922
19087,Henry County,Iowa,5922
19089,Howard County,Iowa,5807
19091,Humboldt County,Iowa,6160
19093,Ida County,Iowa,6257
19095,Iowa County,Iowa,6160
19097,Jackson County,Iowa,5922
19099,Jasper County,Iowa,6027
19101,Jefferson County,Iowa,5922
19103,Johnson County,Iowa,5922
19105,Jones County,Iowa,5922
19107,Keokuk County,Iowa,5922
19109,Kossuth County,Iowa,5922
19111,Lee County,Iowa,5922
19113,Linn County,Iowa,6027
19115,Louisa County,Iowa,6160
19117,Lucas County,Iowa,5922
19119,Lyon County,Iowa,5677
19121,Madison County,Iowa,6027
19123,Mahaska County,Iowa,5922
19125,Marion County,Iowa,6027
19127,Marshall County,Iowa,5922
19129,Mills County,Iowa,5922
19131,Mitchell County,Iowa,5922
19133,Monona County,Iowa,6257
19135,Monroe County,Iowa,5922
19137,Montgomery County,Iowa,6160
19139,Muscatine County,Iowa,6027
19141,O'Brien County,Iowa,5665
19143,Osceola County,Iowa,5677
19145,Page County,Iowa,5922
19147,Palo Alto County,Iowa,5922
19149,Plymouth County,Iowa,5787
19151,Pocahontas County,Iowa,6160
19153,Polk County,Iowa,6100
19155,Pottawattamie County,Iowa,6194
19157,Poweshiek County,Iowa,5922
19159,Ringgold County,Iowa,5922
19161,Sac County,Iowa,6160
19163,Scott County,Iowa,6027
19165,Shelby County,Iowa,6160
19167,Sioux County,Iowa,5753
19169,Story County,Iowa,5922
19171,Tama County,Iowa,6160
19173,Taylor County,Iowa,6160
19175,Union County,Iowa,6160
19177,Van Buren County,Iowa,5922
19179,Wapello County,Iowa,5922
19181,Warren County,Iowa,6100
19183,Washington County,Iowa,5922
19185,Wayne County,Iowa,5922
19187,Webster County,Iowa,6160
19189,Winnebago County,Iowa,5922
19191,Winneshiek County,Iowa,5880
19193,Woodbury County,Iowa,5753
19195,Worth County,Iowa,5922
19197,Wright County,Iowa,5922
17001,Adams County,Ill.,8573
17003,Alexander County,Ill.,9046
17005,Bond County,Ill.,9007
17007,Boone County,Ill.,8600
17009,Brown County,Ill.,8573
17011,Bureau County,Ill.,9287
17013,Calhoun County,Ill.,9007
17015,Carroll County,Ill.,8569
17017,Cass County,Ill.,8573
17019,Champaign County,Ill.,9046
17021,Christian County,Ill.,8573
17023,Clark County,Ill.,9046
17025,Clay County,Ill.,9046
17027,Clinton County,Ill.,9007
17029,Coles County,Ill.,9046
17031,Cook County,Ill.,7425
17033,Crawford County,Ill.,9046
17035,Cumberland County,Ill.,9046
17037,DeKalb County,Ill.,8812
17039,De Witt County,Ill.,8869
17041,Douglas County,Ill.,9046
17043,DuPage County,Ill.,8324
17045,Edgar County,Ill.,9046
17047,Edwards County,Ill.,9046
17049,Effingham County,Ill.,9046
17051,Fayette County,Ill.,9046
17053,Ford County,Ill.,9046
17055,Franklin County,Ill.,9046
17057,Fulton County,Ill.,8295
17059,Gallatin County,Ill.,9046
17061,Greene County,Ill.,9007
17063,Grundy County,Ill.,9026
17065,Hamilton County,Ill.,9046
17067,Hancock County,Ill.,9287
17069,Hardin County,Ill.,9046
17071,Henderson County,Ill.,9287
17073,Henry County,Ill.,8959
17075,Iroquois County,Ill.,9046
17077,Jackson County,Ill.,9046
17079,Jasper County,Ill.,9046
17081,Jefferson County,Ill.,9046
17083,Jersey County,Ill.,9007
17085,Jo Daviess County,Ill.,8569
17087,Johnson County,Ill.,9046
17089,Kane County,Ill.,8324
17091,Kankakee County,Ill.,9026
17093,Kendall County,Ill.,9026
17095,Knox County,Ill.,8532
17097,Lake County,Ill.,8494
17099,LaSalle County,Ill.,8583
17101,Lawrence County,Ill.,9046
17103,Lee County,Ill.,8569
17105,Livingston County,Ill.,8869
17107,Logan County,Ill.,8573
17115,Macon County,Ill.,8329
17117,Macoupin County,Ill.,9007
17119,Madison County,Ill.,7740
17121,Marion County,Ill.,9046
17123,Marshall County,Ill.,8532
17125,Mason County,Ill.,8329
17127,Massac County,Ill.,9046
17109,McDonough County,Ill.,8494
17111,McHenry County,Ill.,8583
17113,McLean County,Ill.,8869
17129,Menard County,Ill.,8573
17131,Mercer County,Ill.,8959
17133,Monroe County,Ill.,7740
17135,Montgomery County,Ill.,9007
17137,Morgan County,Ill.,8573
17139,Moultrie County,Ill.,8573
17141,Ogle County,Ill.,8833
17143,Peoria County,Ill.,8536
17145,Perry County,Ill.,9046
17147,Piatt County,Ill.,9046
17149,Pike County,Ill.,8573
17151,Pope County,Ill.,9046
17153,Pulaski County,Ill.,9046
17155,Putnam County,Ill.,8532
17157,Randolph County,Ill.,9007
17159,Richland County,Ill.,9046
17161,Rock Island County,Ill.,8959
17163,St. Clair County,Ill.,7740
17165,Saline County,Ill.,9046
17167,Sangamon County,Ill.,8378
17169,Schuyler County,Ill.,8573
17171,Scott County,Ill.,8573
17173,Shelby County,Ill.,8329
17175,Stark County,Ill.,8532
17177,Stephenson County,Ill.,8569
17179,Tazewell County,Ill.,8338
17181,Union County,Ill.,9046
17183,Vermilion County,Ill.,9046
17185,Wabash County,Ill.,9046
17187,Warren County,Ill.,9287
17189,Washington County,Ill.,9007
17191,Wayne County,Ill.,9046
17193,White County,Ill.,9046
17195,Whiteside County,Ill.,8959
17197,Will County,Ill.,9026
17199,Williamson County,Ill.,9046
17201,Winnebago County,Ill.,8600
17203,Woodford County,Ill.,8532
18001,Adams County,Ind.,6436
18003,Allen County,Ind.,6390
18005,Bartholomew County,Ind.,5693
18007,Benton County,Ind.,5680
18009,Blackford County,Ind.,5835
18011,Boone County,Ind.,6428
18013,Brown County,Ind.,5541
18015,Carroll County,Ind.,5680
18017,Cass County,Ind.,5780
18019,Clark County,Ind.,6600
18021,Clay County,Ind.,5892
18023,Clinton County,Ind.,5622
18025,Crawford County,Ind.,5892
18027,Daviess County,Ind.,6507
18033,DeKalb County,Ind.,6436
18029,Dearborn County,Ind.,5920
18031,Decatur County,Ind.,5693
18035,Delaware County,Ind.,5835
18037,Dubois County,Ind.,5892
18039,Elkhart County,Ind.,6390
18041,Fayette County,Ind.,5892
18043,Floyd County,Ind.,5920
18045,Fountain County,Ind.,5892
18047,Franklin County,Ind.,6100
18049,Fulton County,Ind.,5780
18051,Gibson County,Ind.,5892
18053,Grant County,Ind.,5780
18055,Greene County,Ind.,5680
18057,Hamilton County,Ind.,6428
18059,Hancock County,Ind.,6541
18061,Harrison County,Ind.,6600
18063,Hendricks County,Ind.,6541
18065,Henry County,Ind.,6381
18067,Howard County,Ind.,6390
18069,Huntington County,Ind.,6436
18071,Jackson County,Ind.,5693
18073,Jasper County,Ind.,5892
18075,Jay County,Ind.,5622
18077,Jefferson County,Ind.,5920
18079,Jennings County,Ind.,5693
18081,Johnson County,Ind.,6541
18083,Knox County,Ind.,6568
18085,Kosciusko County,Ind.,6390
18091,LaPorte County,Ind.,5924
18087,LaGrange County,Ind.,5780
18089,Lake County,Ind.,6507
18093,Lawrence County,Ind.,5680
18095,Madison County,Ind.,6390
18097,Marion County,Ind.,6541
18099,Marshall County,Ind.,6390
18101,Martin County,Ind.,5892
18103,Miami County,Ind.,6390
18105,Monroe County,Ind.,5835
18107,Montgomery County,Ind.,5892
18109,Morgan County,Ind.,5835
18111,Newton County,Ind.,5892
18113,Noble County,Ind.,5780
18115,Ohio County,Ind.,5920
18117,Orange County,Ind.,5680
18119,Owen County,Ind.,5680
18121,Parke County,Ind.,5892
18123,Perry County,Ind.,5920
18125,Pike County,Ind.,5920
18127,Porter County,Ind.,6507
18129,Posey County,Ind.,5892
18131,Pulaski County,Ind.,6390
18133,Putnam County,Ind.,5892
18135,Randolph County,Ind.,5892
18137,Ripley County,Ind.,5920
18139,Rush County,Ind.,5892
18143,Scott County,Ind.,5871
18145,Shelby County,Ind.,6050
18147,Spencer County,Ind.,5920
18141,St. Joseph County,Ind.,6390
18149,Starke County,Ind.,5924
18151,Steuben County,Ind.,6436
18153,Sullivan County,Ind.,5892
18155,Switzerland County,Ind.,5920
18157,Tippecanoe County,Ind.,5835
18159,Tipton County,Ind.,5760
18161,Union County,Ind.,5920
18163,Vanderburgh County,Ind.,5892
18165,Vermillion County,Ind.,5892
18167,Vigo County,Ind.,5892
18169,Wabash County,Ind.,5785
18171,Warren County,Ind.,5892
18173,Warrick County,Ind.,5892
18175,Washington County,Ind.,5892
18177,Wayne County,Ind.,5892
18179,Wells County,Ind.,6390
18181,White County,Ind.,5835
18183,Whitley County,Ind.,6436
20001,Allen County,Kan.,5745
20003,Anderson County,Kan.,5745
20005,Atchison County,Kan.,5745
20007,Barber County,Kan.,5745
20009,Barton County,Kan.,5745
20011,Bourbon County,Kan.,5745
20013,Brown County,Kan.,5745
20015,Butler County,Kan.,5814
20017,Chase County,Kan.,5745
20019,Chautauqua County,Kan.,5814
20021,Cherokee County,Kan.,5745
20023,Cheyenne County,Kan.,5745
20025,Clark County,Kan.,5745
20027,Clay County,Kan.,5745
20029,Cloud County,Kan.,5745
20031,Coffey County,Kan.,5745
