FIPS,c,s,bi,bf,si,sf,gi,gf,pi,pf
17103,Lee County,Ill.,4720,10347,4047,8569,1569,3528,,
17105,Livingston County,Ill.,4730,10367,4197,8869,1725,3841,,
17107,Logan County,Ill.,4664,10300,4033,8573,1640,3697,,
17115,Macon County,Ill.,4834,10519,3941,8329,1625,3641,,
17117,Macoupin County,Ill.,4600,10246,4232,9007,1673,3763,,
17119,Madison County,Ill.,5492,11535,3617,7740,1140,2905,,
17121,Marion County,Ill.,4525,10183,4231,9046,1757,3961,,
17123,Marshall County,Ill.,4900,10516,4066,8532,1672,3692,500,1000
17125,Mason County,Ill.,4834,10519,3941,8329,1625,3641,,
17127,Massac County,Ill.,4525,10183,4231,9046,1757,3961,,
17109,McDonough County,Ill.,4821,10441,4036,8494,1624,3615,,
17111,McHenry County,Ill.,5413,11528,3903,8583,1483,3833,417,833
17113,McLean County,Ill.,4730,10367,4197,8869,1725,3841,,
17129,Menard County,Ill.,4664,10300,4033,8573,1640,3697,,
17131,Mercer County,Ill.,4834,10731,4147,8959,1809,4265,,
17133,Monroe County,Ill.,5492,11535,3617,7740,1140,2905,,
17135,Montgomery County,Ill.,4600,10246,4232,9007,1673,3763,,
17137,Morgan County,Ill.,4664,10300,4033,8573,1640,3697,,
17139,Moultrie County,Ill.,4664,10300,4033,8573,1640,3697,,
17141,Ogle County,Ill.,4886,10567,4131,8833,1644,3747,500,1000
17143,Peoria County,Ill.,5052,10755,4034,8536,1675,3763,500,1000
17145,Perry County,Ill.,4525,10183,4231,9046,1757,3961,,
17147,Piatt County,Ill.,4525,10183,4231,9046,1757,3961,,
17149,Pike County,Ill.,4664,10300,4033,8573,1640,3697,,
17151,Pope County,Ill.,4525,10183,4231,9046,1757,3961,,
17153,Pulaski County,Ill.,4525,10183,4231,9046,1757,3961,,
17155,Putnam County,Ill.,4900,10516,4066,8532,1672,3692,500,1000
17157,Randolph County,Ill.,4600,10246,4232,9007,1673,3763,,
17159,Richland County,Ill.,4525,10183,4231,9046,1757,3961,,
17161,Rock Island County,Ill.,4834,10731,4147,8959,1809,4265,,
17163,St. Clair County,Ill.,5492,11535,3617,7740,1140,2905,,
17165,Saline County,Ill.,4525,10183,4231,9046,1757,3961,,
17167,Sangamon County,Ill.,4917,10589,3978,8378,1676,3721,500,1000
17169,Schuyler County,Ill.,4664,10300,4033,8573,1640,3697,,
17171,Scott County,Ill.,4664,10300,4033,8573,1640,3697,,
17173,Shelby County,Ill.,4834,10519,3941,8329,1625,3641,,
17175,Stark County,Ill.,4900,10516,4066,8532,1672,3692,500,1000
17177,Stephenson County,Ill.,4720,10347,4047,8569,1569,3528,,
17179,Tazewell County,Ill.,5007,10662,3988,8338,1658,3645,500,1000
17181,Union County,Ill.,4525,10183,4231,9046,1757,3961,,
17183,Vermilion County,Ill.,4525,10183,4231,9046,1757,3961,,
17185,Wabash County,Ill.,4525,10183,4231,9046,1757,3961,,
17187,Warren County,Ill.,4664,10543,4267,9287,1834,4356,,
17189,Washington County,Ill.,4600,10246,4232,9007,1673,3763,,
17191,Wayne County,Ill.,4525,10183,4231,9046,1757,3961,,
17193,White County,Ill.,4525,10183,4231,9046,1757,3961,,
17195,Whiteside County,Ill.,4834,10731,4147,8959,1809,4265,,
17197,Will County,Ill.,4878,10739,4145,9026,1676,4037,,
17199,Williamson County,Ill.,4525,10183,4231,9046,1757,3961,,
17201,Winnebago County,Ill.,5000,10715,4043,8600,1632,3697,500,1000
17203,Woodford County,Ill.,4900,10516,4066,8532,1672,3692,500,1000
18001,Adams County,Ind.,5270,10540,3218,6436,775,1550,,
18003,Allen County,Ind.,5194,10389,3170,6390,750,1545,,
18005,Bartholomew County,Ind.,5107,10214,2793,5693,700,1500,,
18007,Benton County,Ind.,5167,10333,2790,5680,700,1500,,
18009,Blackford County,Ind.,5335,10671,2874,5835,786,1643,,
18011,Boone County,Ind.,5291,10583,3191,6428,788,1615,,
18013,Brown County,Ind.,5118,10235,2726,5541,708,1500,,
18015,Carroll County,Ind.,5167,10333,2790,5680,700,1500,,
18017,Cass County,Ind.,5050,10100,2840,5780,750,1600,,
18019,Clark County,Ind.,5467,10933,3300,6600,795,1591,,
18021,Clay County,Ind.,5167,10333,2883,5892,688,1500,,
18023,Clinton County,Ind.,5069,10139,2769,5622,750,1583,,
18025,Crawford County,Ind.,5167,10333,2883,5892,688,1500,,
18027,Daviess County,Ind.,5271,10542,3226,6507,725,1500,,
18033,DeKalb County,Ind.,5270,10540,3218,6436,775,1550,,
18029,Dearborn County,Ind.,5350,10700,2960,5920,750,1500,,
18031,Decatur County,Ind.,5107,10214,2793,5693,700,1500,,
18035,Delaware County,Ind.,5335,10671,2874,5835,786,1643,,
18037,Dubois County,Ind.,5167,10333,2883,5892,688,1500,,
18039,Elkhart County,Ind.,5194,10389,3170,6390,750,1545,,
18041,Fayette County,Ind.,5167,10333,2883,5892,688,1500,,
18043,Floyd County,Ind.,5350,10700,2960,5920,750,1500,,
18045,Fountain County,Ind.,5167,10333,2883,5892,688,1500,,
18047,Franklin County,Ind.,5558,11117,3050,6100,850,1700,,
18049,Fulton County,Ind.,5050,10100,2840,5780,750,1600,,
18051,Gibson County,Ind.,5167,10333,2883,5892,688,1500,,
18053,Grant County,Ind.,5050,10100,2840,5780,750,1600,,
18055,Greene County,Ind.,5167,10333,2790,5680,700,1500,,
18057,Hamilton County,Ind.,5291,10583,3191,6428,788,1615,,
18059,Hancock County,Ind.,5373,10746,3245,6541,771,1583,,
18061,Harrison County,Ind.,5467,10933,3300,6600,795,1591,,
18063,Hendricks County,Ind.,5373,10746,3245,6541,771,1583,,
18065,Henry County,Ind.,5352,10703,3167,6381,769,1577,,
18067,Howard County,Ind.,5194,10389,3170,6390,750,1545,,
18069,Huntington County,Ind.,5270,10540,3218,6436,775,1550,,
18071,Jackson County,Ind.,5107,10214,2793,5693,700,1500,,
18073,Jasper County,Ind.,5167,10333,2883,5892,688,1500,,
18075,Jay County,Ind.,5069,10139,2769,5622,750,1583,,
18077,Jefferson County,Ind.,5350,10700,2960,5920,750,1500,,
18079,Jennings County,Ind.,5107,10214,2793,5693,700,1500,,
18081,Johnson County,Ind.,5373,10746,3245,6541,771,1583,,
18083,Knox County,Ind.,5364,10727,3284,6568,750,1500,,
18085,Kosciusko County,Ind.,5194,10389,3170,6390,750,1545,,
18091,LaPorte County,Ind.,5232,10465,2918,5924,821,1714,,
18087,LaGrange County,Ind.,5050,10100,2840,5780,750,1600,,
18089,Lake County,Ind.,5271,10542,3226,6507,725,1500,,
18093,Lawrence County,Ind.,5167,10333,2790,5680,700,1500,,
18095,Madison County,Ind.,5194,10389,3170,6390,750,1545,,
18097,Marion County,Ind.,5373,10746,3245,6541,771,1583,,
18099,Marshall County,Ind.,5194,10389,3170,6390,750,1545,,
18101,Martin County,Ind.,5167,10333,2883,5892,688,1500,,
18103,Miami County,Ind.,5194,10389,3170,6390,750,1545,,
18105,Monroe County,Ind.,5335,10671,2874,5835,786,1643,,
18107,Montgomery County,Ind.,5167,10333,2883,5892,688,1500,,
18109,Morgan County,Ind.,5335,10671,2874,5835,786,1643,,
18111,Newton County,Ind.,5167,10333,2883,5892,688,1500,,
18113,Noble County,Ind.,5050,10100,2840,5780,750,1600,,
18115,Ohio County,Ind.,5350,10700,2960,5920,750,1500,,
18117,Orange County,Ind.,5167,10333,2790,5680,700,1500,,
18119,Owen County,Ind.,5167,10333,2790,5680,700,1500,,
18121,Parke County,Ind.,5167,10333,2883,5892,688,1500,,
18123,Perry County,Ind.,5350,10700,2960,5920,750,1500,,
18125,Pike County,Ind.,5350,10700,2960,5920,750,1500,,
18127,Porter County,Ind.,5271,10542,3226,6507,725,1500,,
18129,Posey County,Ind.,5167,10333,2883,5892,688,1500,,
18131,Pulaski County,Ind.,5194,10389,3170,6390,750,1545,,
18133,Putnam County,Ind.,5167,10333,2883,5892,688,1500,,
18135,Randolph County,Ind.,5167,10333,2883,5892,688,1500,,
18137,Ripley County,Ind.,5350,10700,2960,5920,750,1500,,
18139,Rush County,Ind.,5167,10333,2883,5892,688,1500,,
18143,Scott County,Ind.,5443,10886,2936,5871,833,1667,,
18145,Shelby County,Ind.,5371,10743,2971,6050,792,1667,,
18147,Spencer County,Ind.,5350,10700,2960,5920,750,1500,,
18141,St. Joseph County,Ind.,5194,10389,3170,6390,750,1545,,
18149,Starke County,Ind.,5232,10465,2918,5924,821,1714,,
18151,Steuben County,Ind.,5270,10540,3218,6436,775,1550,,
18153,Sullivan County,Ind.,5167,10333,2883,5892,688,1500,,
18155,Switzerland County,Ind.,5350,10700,2960,5920,750,1500,,
18157,Tippecanoe County,Ind.,5335,10671,2874,5835,786,1643,,
18159,Tipton County,Ind.,5223,10445,2843,5760,813,1688,,
18161,Union County,Ind.,5350,10700,2960,5920,750,1500,,
18163,Vanderburgh County,Ind.,5167,10333,2883,5892,688,1500,,
18165,Vermillion County,Ind.,5167,10333,2883,5892,688,1500,,
18167,Vigo County,Ind.,5167,10333,2883,5892,688,1500,,
18169,Wabash County,Ind.,5173,10346,2892,5785,813,1625,,
18171,Warren County,Ind.,5167,10333,2883,5892,688,1500,,
18173,Warrick County,Ind.,5167,10333,2883,5892,688,1500,,
18175,Washington County,Ind.,5167,10333,2883,5892,688,1500,,
18177,Wayne County,Ind.,5167,10333,2883,5892,688,1500,,
18179,Wells County,Ind.,5194,10389,3170,6390,750,1545,,
18181,White County,Ind.,5335,10671,2874,5835,786,1643,,
